iter	RMSE
0	94737.16551
1	91939.91267
2	89218.63685
3	86814.94674
4	84452.95103
5	82333.1571
6	80389.36928
7	78643.73628
8	77106.5154
9	75717.81179
10	74392.6007
11	73191.02798
12	72018.91597
13	70951.33293
14	69832.63944
15	68970.96846
16	68180.68737
17	67397.4573
18	66702.19508
19	65971.76198
20	65368.18216
21	64814.96814
22	64313.62486
23	63795.79737
24	63374.99568
25	62917.82775
26	62571.6379
27	62218.24997
28	61824.4817
29	61470.32728
30	61175.41262
31	60763.96881
32	60503.87562
33	60213.51806
34	59959.8854
35	59720.12132
36	59458.75963
37	59185.96932
38	58969.63808
39	58789.30341
40	58352.67519
41	58075.0689
42	57711.47199
43	57431.72383
44	57249.53456
45	57080.68893
46	56922.40157
47	56755.64237
48	56584.4921
49	56430.00237
50	56216.5097
51	56022.41822
52	55750.05354
53	55539.62212
54	55397.82867
55	55270.31342
56	55135.73675
57	54942.11084
58	54768.30479
59	54660.60784
60	54518.91619
61	54365.43955
62	54252.41044
63	54146.83151
64	54071.69602
65	53965.35036
66	53875.94003
67	53769.25333
68	53615.11325
69	53518.45028
70	53230.00973
71	53119.73354
72	52994.98418
73	52721.58901
74	52627.52094
75	52433.39343
76	52339.99367
77	52245.76522
78	52162.57177
79	52047.10349
80	51954.97287
81	51864.17348
82	51746.47748
83	51640.66607
84	51517.17042
85	51417.97664
86	51340.45573
87	51175.05678
88	51085.17726
89	51015.57001
90	50946.97152
91	50873.83228
92	50804.58767
93	50740.3709
94	50642.73913
95	50503.4243
96	50444.11338
97	50370.08816
98	50244.55908
99	50156.156
100	50108.32323
101	50055.01001
102	50002.05336
103	49952.16577
104	49833.81059
105	49796.84866
106	49628.95192
107	49565.66729
108	49518.95478
109	49437.9145
110	49381.70965
111	49273.91312
112	49216.96006
113	49158.96943
114	49063.2708
115	48994.16132
116	48943.6284
117	48877.68526
118	48823.18432
119	48749.11183
120	48696.01324
121	48650.21772
122	48525.87469
123	48448.66096
124	48374.04959
125	48323.88511
126	48275.83958
127	48197.5118
128	48152.81451
129	48106.90594
130	48052.59667
131	48000.16454
132	47931.11448
133	47863.18798
134	47822.19494
135	47767.05244
136	47723.83327
137	47678.6809
138	47624.58775
139	47579.86713
140	47516.00655
141	47458.43008
142	47380.21569
143	47342.75113
144	47287.90782
145	47212.56015
146	47138.83859
147	47060.91816
148	47015.87387
149	46976.53239
150	46923.63271
151	46878.38509
152	46837.58457
153	46748.60895
154	46712.37756
155	46680.31202
156	46619.68326
157	46573.93558
158	46517.36856
159	46487.24843
160	46439.35288
161	46343.75869
162	46314.84716
163	46271.72547
164	46228.43602
165	46159.0246
166	46108.62036
167	46069.78271
168	46002.62307
169	45951.77658
170	45902.06917
171	45873.18387
172	45810.19532
173	45784.90692
174	45750.26365
175	45684.26191
176	45639.02947
177	45588.75877
178	45560.24215
179	45528.70021
180	45499.42078
181	45451.07372
182	45404.85432
183	45333.53799
184	45286.57767
185	45231.79088
186	45197.38466
187	45157.35331
188	45111.96032
189	45056.11854
190	44990.36236
191	44937.55288
