iter	Passed	Remaining
0	4	4029
1	10	5011
2	14	4719
3	19	4864
4	22	4428
5	30	4986
6	33	4723
7	41	5107
8	43	4769
9	52	5219
10	61	5552
11	66	5464
12	85	6527
13	94	6627
14	109	7192
15	111	6852
16	120	6970
17	127	6930
18	131	6791
19	153	7512
20	158	7377
21	163	7290
22	166	7072
23	178	7264
24	195	7641
25	204	7663
26	223	8066
27	240	8358
28	244	8190
29	253	8189
30	267	8363
31	274	8317
32	277	8126
33	308	8778
34	314	8663
35	326	8751
36	366	9548
37	373	9455
38	389	9602
39	406	9752
40	418	9778
41	437	9976
42	452	10066
43	455	9886
44	457	9710
45	470	9753
46	472	9576
47	484	9607
48	502	9749
49	505	9597
50	507	9439
51	510	9314
52	522	9333
53	526	9224
54	533	9171
55	556	9386
56	576	9542
57	601	9772
58	628	10018
59	650	10192
60	663	10210
61	665	10068
62	671	9989
63	684	10004
64	687	9888
65	696	9859
66	704	9804
67	713	9782
68	719	9704
69	726	9649
70	731	9577
71	740	9539
72	748	9505
73	752	9422
74	768	9480
75	773	9407
76	783	9396
77	796	9412
78	811	9460
79	828	9524
80	851	9656
81	854	9564
82	866	9569
83	869	9483
84	881	9491
85	883	9394
86	891	9354
87	901	9343
88	921	9433
89	950	9612
90	953	9528
91	965	9529
92	971	9476
93	973	9386
94	983	9367
95	990	9328
96	1005	9356
97	1014	9335
98	1023	9311
99	1029	9262
100	1041	9274
101	1053	9277
102	1057	9211
103	1064	9174
104	1073	9147
105	1075	9071
106	1091	9107
107	1098	9074
108	1106	9047
109	1112	9000
110	1122	8989
111	1129	8956
112	1136	8920
113	1145	8901
114	1149	8842
115	1161	8848
116	1166	8804
117	1171	8755
118	1183	8761
119	1189	8723
120	1209	8783
121	1217	8763
122	1220	8704
123	1226	8662
124	1253	8775
125	1257	8725
126	1260	8665
127	1273	8676
128	1275	8615
129	1289	8629
130	1296	8598
131	1304	8578
132	1310	8542
133	1322	8546
134	1325	8495
135	1336	8488
136	1357	8548
137	1366	8538
138	1382	8561
139	1397	8583
140	1410	8590
141	1417	8563
142	1428	8561
143	1433	8521
144	1447	8533
145	1450	8485
146	1462	8485
147	1475	8491
148	1477	8439
149	1480	8388
150	1489	8373
151	1495	8340
152	1498	8297
153	1516	8330
154	1533	8360
155	1543	8348
156	1546	8304
157	1558	8306
158	1562	8262
159	1575	8272
160	1592	8300
161	1604	8299
162	1617	8306
163	1636	8343
164	1639	8297
165	1652	8303
166	1657	8269
167	1668	8261
168	1671	8220
169	1681	8207
170	1685	8170
171	1687	8122
172	1699	8122
173	1701	8078
174	1715	8087
175	1717	8043
176	1730	8047
177	1732	8002
178	1740	7982
179	1748	7964
180	1753	7932
181	1759	7906
182	1766	7885
183	1770	7853
184	1783	7857
185	1792	7844
186	1799	7822
187	1803	7789
188	1817	7799
189	1820	7759
190	1831	7755
191	1834	7720
192	1839	7690
193	1845	7667
194	1856	7662
195	1864	7647
196	1873	7636
197	1880	7618
198	1883	7579
199	1893	7574
200	1899	7551
201	1901	7512
202	1912	7508
203	1926	7517
204	1931	7490
205	1941	7481
206	1949	7467
207	1962	7471
208	1966	7442
209	1972	7420
210	1981	7408
211	1992	7405
212	1996	7376
213	2001	7352
214	2009	7335
215	2013	7308
216	2024	7306
217	2028	7278
218	2034	7255
219	2042	7242
220	2048	7222
221	2054	7200
222	2062	7186
223	2073	7183
224	2076	7152
225	2078	7118
226	2088	7111
227	2124	7192
228	2126	7159
229	2134	7146
230	2140	7127
231	2144	7097
232	2152	7085
233	2155	7057
234	2166	7051
235	2169	7022
236	2188	7046
237	2192	7019
238	2198	7001
239	2204	6982
240	2209	6959
241	2224	6966
242	2231	6950
243	2234	6923
244	2244	6915
245	2250	6899
246	2255	6876
247	2259	6852
248	2264	6828
249	2271	6813
250	2275	6789
251	2287	6790
252	2289	6760
253	2302	6762
254	2306	6739
255	2320	6743
256	2329	6733
257	2334	6713
258	2340	6695
259	2349	6686
260	2352	6660
261	2362	6655
262	2367	6635
263	2381	6638
264	2385	6616
265	2396	6613
266	2401	6593
267	2410	6582
268	2418	6571
269	2429	6568
270	2432	6542
271	2443	6539
272	2446	6514
273	2451	6495
274	2460	6486
275	2482	6512
276	2484	6485
277	2498	6488
278	2500	6461
279	2515	6469
280	2518	6443
281	2520	6417
282	2535	6424
283	2537	6398
284	2545	6384
285	2549	6365
286	2557	6352
287	2561	6332
288	2587	6365
289	2591	6343
290	2602	6341
291	2608	6325
292	2613	6307
293	2627	6309
294	2630	6286
295	2643	6287
296	2647	6265
297	2653	6251
298	2659	6235
299	2661	6210
300	2673	6208
301	2678	6189
302	2690	6187
303	2694	6168
304	2715	6187
305	2727	6185
306	2739	6183
307	2742	6162
308	2751	6152
309	2772	6171
310	2778	6154
311	2782	6135
312	2791	6126
313	2800	6119
314	2806	6103
315	2820	6105
